process,arrival,burst_time,turn_arround,response_time,waiting_time
0,16,5,5,0,0
1,16,4,9,5,5
3,30,7,7,0,0
2,26,6,13,0,7
4,45,6,6,0,0
5,62,7,7,0,0
7,81,4,4,0,0
9,88,2,2,0,0
10,88,1,3,2,2
8,85,1,7,6,6
6,74,17,25,0,8
11,104,1,1,0,0
12,116,1,1,0,0
13,125,5,5,0,0
14,136,5,5,0,0
17,142,8,8,0,0
18,145,6,11,5,5
16,138,1,19,18,18
15,136,4,24,5,20
20,177,3,3,0,0
19,163,18,21,0,3
21,185,4,4,0,0
22,206,9,9,0,0
23,206,1,10,9,9
24,206,1,11,10,10
25,225,1,1,0,0
26,263,2,2,0,0
27,277,2,2,0,0
28,279,3,3,0,0
30,298,6,6,0,0
31,298,3,9,6,6
29,298,6,15,9,9
33,318,3,10,7,7
34,331,2,2,0,0
32,315,15,20,0,5
35,338,3,3,0,0
36,341,4,4,0,0
37,350,3,3,0,0
39,396,1,1,0,0
40,397,3,3,0,0
38,383,20,24,0,4
41,428,5,5,0,0
42,430,11,14,3,3
45,461,5,11,6,6
43,447,12,27,0,15
44,451,12,25,6,13
46,524,1,1,0,0
47,537,1,1,0,0
48,548,4,4,0,0
50,555,1,1,0,0
51,560,3,3,0,0
54,583,3,3,0,0
53,564,2,24,22,22
52,563,13,28,0,15
49,553,17,39,0,22
55,604,12,12,0,0
56,634,6,6,0,0
57,636,4,8,4,4
58,655,3,3,0,0
59,671,1,1,0,0
60,682,10,10,0,0
61,688,3,7,4,4
62,698,3,3,0,0
63,699,6,8,2,2
64,707,1,1,0,0
65,715,4,4,0,0
66,748,3,3,0,0
68,815,2,2,0,0
69,818,1,1,0,0
70,822,2,2,0,0
67,814,13,18,0,5
71,835,2,2,0,0
72,835,1,3,2,2
73,848,2,2,0,0
74,851,1,1,0,0
75,854,2,2,0,0
76,859,4,4,0,0
77,870,3,3,0,0
78,876,4,4,0,0
79,883,10,10,0,0
80,884,7,16,9,9
81,888,2,14,12,12
83,902,9,9,0,0
87,918,6,6,0,0
88,922,2,4,2,2
85,908,13,34,21,21
86,908,3,37,34,34
82,899,12,51,12,39
92,945,1,9,8,8
95,961,3,3,0,0
96,965,4,4,0,0
84,904,6,68,22,62
93,953,5,24,19,19
94,953,3,27,24,24
100,982,10,10,0,0
101,986,5,11,6,6
