time,Amount
4,1
4,0
14,1
14,0
31,1
31,2
33,3
33,2
34,1
36,2
36,1
37,0
42,1
42,2
43,1
52,0
79,1
79,0
82,1
98,2
99,1
104,0
106,1
109,0
113,1
113,0
161,1
161,0
167,1
167,0
184,1
184,0
185,1
185,2
185,1
189,0
206,1
206,0
216,1
216,2
216,1
218,0
219,1
219,2
219,1
224,0
225,1
231,2
235,3
236,2
238,1
242,0
244,1
244,0
247,1
254,0
267,1
267,0
288,1
288,0
313,1
313,0
314,1
318,0
324,1
324,0
341,1
350,2
352,3
352,2
357,1
360,2
360,3
360,2
363,1
368,0
370,1
370,0
375,1
375,2
375,1
376,0
384,1
384,0
409,1
409,0
429,1
429,0
437,1
437,0
439,1
439,2
439,1
442,0
453,1
453,0
467,1
467,0
485,1
485,0
503,1
506,2
506,1
507,2
509,3
511,2
513,1
516,0
520,1
520,2
520,1
521,2
521,3
521,2
539,1
545,0
603,1
603,0
646,1
646,0
652,1
652,0
671,1
671,0
672,1
672,0
676,1
681,2
684,1
689,0
720,1
720,0
768,1
778,0
780,1
780,2
780,1
784,2
791,1
798,0
845,1
846,0
906,1
906,0
916,1
916,0
922,1
923,0
931,1
931,2
931,1
932,2
932,1
934,0
938,1
938,0
961,1
962,0
976,1
976,0
