time,Amount
44,1
44,0
53,1
54,0
125,1
125,0
137,1
137,0
140,1
143,2
144,1
147,0
205,1
205,0
250,1
250,0
263,1
263,0
268,1
268,0
299,1
299,0
337,1
337,0
338,1
342,0
351,1
351,0
383,1
383,0
385,1
388,0
427,1
427,0
447,1
447,0
477,1
477,0
485,1
485,0
514,1
514,0
526,1
526,0
553,1
553,0
590,1
590,0
624,1
624,0
635,1
635,0
638,1
641,0
651,1
651,0
663,1
663,0
711,1
711,0
717,1
722,2
722,1
724,0
744,1
744,0
759,1
759,0
767,1
767,0
768,1
768,0
775,1
775,0
781,1
781,0
830,1
830,0
861,1
861,0
865,1
869,2
870,1
876,0
881,1
881,0
918,1
918,0
925,1
925,0
930,1
932,0
968,1
968,0
